,Value,Time
203,    39 001 857.219,2018-10-29 20:40:00.0000000
204,    39 001 744.672,2018-10-29 20:35:00.0000000
205,    39 001 646.977,2018-10-29 20:30:00.0000000
206,    39 001 548.329,2018-10-29 20:25:00.0000000
207,    39 001 454.962,2018-10-29 20:20:00.0000000
208,    39 001 360.757,2018-10-29 20:15:00.0000000
209,    39 001 273.932,2018-10-29 20:10:00.0000000
210,    39 001 193.831,2018-10-29 20:05:00.0000000
211,    39 001 098.477,2018-10-29 20:00:00.0000000
212,    39 000 997.560,2018-10-29 19:55:00.0000000
213,    39 000 900.641,2018-10-29 19:50:00.0000000
214,    39 000 818.127,2018-10-29 19:45:00.0000000
215,    39 000 740.420,2018-10-29 19:40:00.0000000
216,    39 000 653.384,2018-10-29 19:35:00.0000000
217,    39 000 560.886,2018-10-29 19:30:00.0000000
218,    39 000 468.351,2018-10-29 19:25:00.0000000
219,    39 000 377.259,2018-10-29 19:20:00.0000000
220,    39 000 291.550,2018-10-29 19:15:00.0000000
221,    39 000 214.221,2018-10-29 19:10:00.0000000
222,    39 000 131.891,2018-10-29 19:05:00.0000000
223,    39 000 040.258,2018-10-29 19:00:00.0000000
224,    38 999 945.302,2018-10-29 18:55:00.0000000
225,    38 999 842.888,2018-10-29 18:50:00.0000000
226,    38 999 751.373,2018-10-29 18:45:00.0000000
227,    38 999 664.239,2018-10-29 18:40:00.0000000
228,    38 999 582.274,2018-10-29 18:35:00.0000000
229,    38 999 498.010,2018-10-29 18:30:00.0000000
230,    38 999 409.052,2018-10-29 18:25:00.0000000
231,    38 999 317.420,2018-10-29 18:20:00.0000000
232,    38 999 220.407,2018-10-29 18:15:00.0000000
233,    38 999 127.197,2018-10-29 18:10:00.0000000
234,    38 999 041.419,2018-10-29 18:05:00.0000000
235,    38 998 951.047,2018-10-29 18:00:00.0000000
236,    38 998 845.457,2018-10-29 17:55:00.0000000
237,    38 998 750.333,2018-10-29 17:50:00.0000000
238,    38 998 659.985,2018-10-29 17:45:00.0000000
239,    38 998 554.896,2018-10-29 17:40:00.0000000
240,    38 998 472.136,2018-10-29 17:35:00.0000000
241,    38 998 389.808,2018-10-29 17:30:00.0000000
242,    38 998 302.022,2018-10-29 17:25:00.0000000
243,    38 998 197.227,2018-10-29 17:20:00.0000000
244,    38 998 097.173,2018-10-29 17:15:00.0000000
245,    38 997 998.853,2018-10-29 17:10:00.0000000
246,    38 997 903.909,2018-10-29 17:05:00.0000000
247,    38 997 815.456,2018-10-29 17:00:00.0000000
248,    38 997 724.871,2018-10-29 16:55:00.0000000
249,    38 997 634.378,2018-10-29 16:50:00.0000000
250,    38 997 536.472,2018-10-29 16:45:00.0000000
251,    38 997 435.055,2018-10-29 16:40:00.0000000
252,    38 997 340.858,2018-10-29 16:35:00.0000000
253,    38 997 251.831,2018-10-29 16:30:00.0000000
254,    38 997 153.919,2018-10-29 16:25:00.0000000
255,    38 997 057.069,2018-10-29 16:20:00.0000000
256,    38 996 953.533,2018-10-29 16:15:00.0000000
257,    38 996 845.869,2018-10-29 16:10:00.0000000
258,    38 996 737.433,2018-10-29 16:05:00.0000000
259,    38 996 636.048,2018-10-29 16:00:00.0000000
260,    38 996 532.587,2018-10-29 15:55:00.0000000
261,    38 996 427.653,2018-10-29 15:50:00.0000000
262,    38 996 318.685,2018-10-29 15:45:00.0000000
263,    38 996 214.667,2018-10-29 15:40:00.0000000
264,    38 996 101.661,2018-10-29 15:35:00.0000000
265,    38 995 997.652,2018-10-29 15:30:00.0000000
266,    38 995 892.044,2018-10-29 15:25:00.0000000
267,    38 995 788.715,2018-10-29 15:20:00.0000000
268,    38 995 683.498,2018-10-29 15:15:00.0000000
269,    38 995 580.777,2018-10-29 15:10:00.0000000
270,    38 995 477.657,2018-10-29 15:05:00.0000000
271,    38 995 369.993,2018-10-29 15:00:00.0000000
272,    38 995 269.307,2018-10-29 14:55:00.0000000
273,    38 995 176.658,2018-10-29 14:50:00.0000000
274,    38 995 075.832,2018-10-29 14:45:00.0000000
275,    38 994 972.895,2018-10-29 14:40:00.0000000
276,    38 994 866.283,2018-10-29 14:35:00.0000000
277,    38 994 767.635,2018-10-29 14:30:00.0000000
278,    38 994 669.808,2018-10-29 14:25:00.0000000
279,    38 994 572.549,2018-10-29 14:20:00.0000000
280,    38 994 465.865,2018-10-29 14:15:00.0000000
281,    38 994 364.219,2018-10-29 14:10:00.0000000
